MSSubClass,BldgType,Heating,Exterior2nd,Street,MSZoning,CentralAir,RoofMatl,Condition1,Exterior1st,MasVnrType,SaleType,LandContour,GarageType,Condition2,LotConfig,LandSlope,RoofStyle,SaleCondition,LotShape,MiscFeature,Neighborhood,HouseStyle,Alley,Foundation,MSSubClass,BldgType,Heating,Exterior2nd,Street,MSZoning,CentralAir,RoofMatl,Condition1,Exterior1st,MasVnrType,SaleType,LandContour,GarageType,Condition2,LotConfig,LandSlope,RoofStyle,SaleCondition,LotShape,MiscFeature,Neighborhood,HouseStyle,Alley,Foundation
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,Edwards,1Story,None,PConc,20,0,1,14,1,4,1,1,2,13,2,9,3,1,2,4,0,1,4,3,1,7,2,1,2
50,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,Norm,HdBoard,BrkFace,WD,Lvl,Attchd,Norm,CulDSac,Gtl,Gable,Normal,IR1,None,Timber,1.5Fin,None,CBlock,50,0,1,6,1,4,1,1,2,6,1,9,3,1,2,1,0,1,4,0,1,23,0,1,1
60,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,BuiltIn,Norm,Corner,Gtl,Gable,Normal,IR1,None,Gilbert,2Story,None,PConc,60,0,1,14,1,4,1,1,2,13,2,9,3,3,2,0,0,1,4,0,1,8,5,1,2
75,1Fam,GasA,Wd Sdng,Pave,RL,N,CompShg,Norm,Wd Sdng,None,WD,Bnk,Detchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,SWISU,2.5Fin,None,PConc,75,0,1,15,1,4,0,1,2,14,2,9,0,5,2,4,0,1,4,3,1,18,3,1,2
20,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,Norm,HdBoard,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,NAmes,1Story,None,CBlock,20,0,1,6,1,4,1,1,2,6,1,9,3,1,2,4,0,1,4,3,1,12,2,1,1
120,TwnhsE,GasA,MetalSd,Pave,FV,Y,CompShg,Norm,MetalSd,BrkFace,CWD,Lvl,Attchd,Norm,CulDSac,Gtl,Gable,Abnorml,IR1,None,Somerst,1Story,None,PConc,120,4,1,8,1,1,1,1,2,8,1,1,3,1,2,1,0,1,0,0,1,21,2,1,2
90,Duplex,GasA,MetalSd,Pave,RL,Y,CompShg,Norm,MetalSd,BrkFace,WD,Lvl,Attchd,Norm,Corner,Gtl,Gable,Family,Reg,None,NAmes,1Story,None,CBlock,90,2,1,8,1,4,1,1,2,8,1,9,3,1,2,0,0,1,3,3,1,12,2,1,1
50,1Fam,GasA,MetalSd,Pave,RL,Y,CompShg,Norm,MetalSd,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,IR1,None,Edwards,1.5Fin,None,PConc,50,0,1,8,1,4,1,1,2,8,2,9,3,1,2,4,0,1,4,0,1,7,0,1,2
20,1Fam,GasA,Wd Sdng,Pave,RL,Y,Tar&Grv,Norm,Wd Sdng,None,WD,Lvl,Attchd,Norm,Inside,Mod,Flat,Normal,IR1,None,NAmes,1Story,None,PConc,20,0,1,15,1,4,1,5,2,14,2,9,3,1,2,4,1,0,4,0,1,12,2,1,2
20,1Fam,GasA,Wd Sdng,Pave,RL,Y,CompShg,Feedr,Wd Sdng,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Hip,Normal,Reg,None,NAmes,1Story,None,CBlock,20,0,1,15,1,4,1,1,1,14,1,9,3,1,2,4,0,3,4,3,1,12,2,1,1
50,1Fam,GasA,MetalSd,Pave,RL,Y,CompShg,Artery,MetalSd,None,WD,Lvl,Detchd,Norm,Corner,Gtl,Gable,Normal,Reg,Shed,NAmes,1.5Fin,None,CBlock,50,0,1,8,1,4,1,1,0,8,2,9,3,5,2,0,0,1,4,3,3,12,0,1,1
60,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,Norm,HdBoard,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Hip,Normal,Reg,None,Sawyer,2Story,None,CBlock,60,0,1,6,1,4,1,1,2,6,1,9,3,1,2,4,0,3,4,3,1,19,5,1,1
20,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,Norm,HdBoard,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Hip,Normal,Reg,None,Sawyer,1Story,None,CBlock,20,0,1,6,1,4,1,1,2,6,2,9,3,1,2,4,0,3,4,3,1,19,2,1,1
20,1Fam,GasA,Plywood,Pave,RL,Y,CompShg,PosN,Wd Sdng,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,Sawyer,1Story,None,PConc,20,0,1,11,1,4,1,1,4,14,2,9,3,1,2,4,0,1,4,3,1,19,2,1,2
90,Duplex,GasA,Plywood,Pave,RL,Y,CompShg,Norm,Plywood,None,WD,Bnk,Attchd,Norm,Inside,Gtl,Gable,Alloca,Reg,None,SawyerW,1Story,None,Slab,90,2,1,11,1,4,1,1,2,10,2,9,0,1,2,4,0,1,2,3,1,20,2,1,3
60,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,Norm,HdBoard,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Hip,Normal,Reg,None,NAmes,2Story,None,CBlock,60,0,1,6,1,4,1,1,2,6,1,9,3,1,2,4,0,3,4,3,1,12,5,1,1
30,1Fam,GasA,Wd Sdng,Pave,RM,N,CompShg,Norm,Wd Sdng,None,WD,Lvl,Detchd,Norm,Inside,Gtl,Gable,Abnorml,Reg,None,IDOTRR,1Story,Grvl,BrkTil,30,0,1,15,1,5,0,1,2,14,2,9,3,5,2,4,0,1,0,3,1,9,2,0,0
90,Duplex,GasA,Plywood,Pave,RL,Y,CompShg,Feedr,Plywood,None,WD,Lvl,Detchd,Norm,Inside,Gtl,Gable,Alloca,Reg,None,SawyerW,2Story,None,Slab,90,2,1,11,1,4,1,1,1,10,2,9,3,5,2,4,0,1,2,3,1,20,5,1,3
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,Stone,New,Lvl,Attchd,Norm,Inside,Gtl,Hip,Partial,IR1,None,NridgHt,1Story,None,PConc,20,0,1,14,1,4,1,1,2,13,3,6,3,1,2,4,0,3,5,0,1,16,2,1,2
20,1Fam,GasA,Plywood,Pave,RL,Y,CompShg,Feedr,HdBoard,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,Sawyer,1Story,None,CBlock,20,0,1,11,1,4,1,1,1,6,2,9,3,1,2,4,0,1,4,3,1,19,2,1,1
20,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,Norm,HdBoard,None,WD,Lvl,Detchd,Norm,Inside,Gtl,Gable,Normal,IR1,None,NAmes,1Story,None,CBlock,20,0,1,6,1,4,1,1,2,6,2,9,3,5,2,4,0,1,4,0,1,12,2,1,1
20,1Fam,GasA,MetalSd,Pave,RL,Y,CompShg,Norm,MetalSd,None,WD,Lvl,Detchd,Norm,Inside,Gtl,Hip,Normal,IR1,None,NAmes,1Story,None,CBlock,20,0,1,8,1,4,1,1,2,8,2,9,3,5,2,4,0,3,4,0,1,12,2,1,1
60,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,Gilbert,2Story,None,PConc,60,0,1,14,1,4,1,1,2,13,2,9,3,1,2,4,0,1,4,3,1,8,5,1,2
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,BrkFace,New,HLS,Attchd,Norm,CulDSac,Gtl,Hip,Partial,IR1,None,Gilbert,1Story,None,PConc,20,0,1,14,1,4,1,1,2,13,1,6,1,1,2,1,0,3,5,0,1,8,2,1,2
20,1Fam,GasA,Wd Sdng,Pave,RL,Y,CompShg,Norm,HdBoard,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,IR1,None,Sawyer,1Story,None,CBlock,20,0,1,15,1,4,1,1,2,6,1,9,3,1,2,4,0,1,4,0,1,19,2,1,1
20,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,Norm,HdBoard,Stone,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,NAmes,1Story,None,CBlock,20,0,1,6,1,4,1,1,2,6,3,9,3,1,2,4,0,1,4,3,1,12,2,1,1
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,Stone,WD,Lvl,Attchd,Norm,Corner,Gtl,Gable,Normal,IR1,None,Somerst,1Story,None,PConc,20,0,1,14,1,4,1,1,2,13,3,9,3,1,2,0,0,1,4,0,1,21,2,1,2
50,1Fam,GasA,BrkFace,Pave,RL,Y,CompShg,Norm,BrkFace,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,IR1,None,Crawfor,1.5Fin,None,CBlock,50,0,1,3,1,4,1,1,2,3,2,9,3,1,2,4,0,1,4,0,1,6,0,1,1
20,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,Norm,HdBoard,None,WD,Low,Attchd,Norm,Inside,Mod,Gable,Normal,IR1,None,Mitchel,1Story,None,CBlock,20,0,1,6,1,4,1,1,2,6,2,9,2,1,2,4,1,1,4,0,1,11,2,1,1
60,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,IR2,None,Gilbert,2Story,None,PConc,60,0,1,14,1,4,1,1,2,13,2,9,3,1,2,4,0,1,4,1,1,8,5,1,2
90,Duplex,GasA,MetalSd,Pave,RL,Y,CompShg,Feedr,MetalSd,BrkFace,WD,Lvl,Detchd,Norm,Corner,Gtl,Gable,Normal,Reg,None,NAmes,2Story,None,CBlock,90,2,1,8,1,4,1,1,1,8,1,9,3,5,2,0,0,1,4,3,1,12,5,1,1
20,1Fam,GasA,Plywood,Pave,RL,Y,CompShg,Norm,HdBoard,None,WD,Lvl,Detchd,Norm,CulDSac,Mod,Gable,Normal,IR1,None,CollgCr,1Story,None,CBlock,20,0,1,11,1,4,1,1,2,6,2,9,3,5,2,1,1,1,4,0,1,5,2,1,1
30,1Fam,GasA,MetalSd,Pave,RM,N,CompShg,Norm,MetalSd,None,WD,Lvl,Detchd,Norm,Inside,Gtl,Gable,Abnorml,Reg,Shed,BrkSide,1Story,None,BrkTil,30,0,1,8,1,5,0,1,2,8,2,9,3,5,2,4,0,1,0,3,3,3,2,1,0
90,Duplex,GasA,MetalSd,Pave,RH,N,CompShg,Norm,MetalSd,None,WD,HLS,2Types,Norm,Inside,Gtl,Gable,Normal,Reg,None,Crawfor,2Story,None,CBlock,90,2,1,8,1,3,0,1,2,8,2,9,1,0,2,4,0,1,4,3,1,6,5,1,1
160,TwnhsE,GasA,VinylSd,Pave,FV,Y,CompShg,Norm,VinylSd,Stone,New,Lvl,Detchd,Norm,Inside,Gtl,Gable,Partial,Reg,None,Somerst,2Story,Pave,PConc,160,4,1,14,1,1,1,1,2,13,3,6,3,5,2,4,0,1,5,3,1,21,5,2,2
160,Twnhs,GasA,CmentBd,Pave,RM,Y,CompShg,Norm,CemntBd,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,MeadowV,2Story,None,CBlock,160,3,1,5,1,5,1,1,2,5,1,9,3,1,2,4,0,1,4,3,1,10,5,1,1
20,1Fam,GasA,AsbShng,Pave,C (all),N,CompShg,Norm,AsbShng,None,WD,Lvl,Detchd,Norm,Inside,Gtl,Gable,Abnorml,Reg,None,IDOTRR,1Story,None,CBlock,20,0,1,0,1,0,0,1,2,0,2,9,3,5,2,4,0,1,0,3,1,9,2,1,1
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,Edwards,1Story,None,CBlock,20,0,1,14,1,4,1,1,2,13,2,9,3,1,2,4,0,1,4,3,1,7,2,1,1
60,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,Norm,HdBoard,None,WD,Lvl,Attchd,Norm,Corner,Gtl,Gable,Normal,IR1,None,SawyerW,2Story,None,PConc,60,0,1,6,1,4,1,1,2,6,2,9,3,1,2,0,0,1,4,0,1,20,5,1,2
20,1Fam,GasA,MetalSd,Pave,RL,Y,CompShg,Norm,MetalSd,None,WD,Lvl,Attchd,Norm,Corner,Gtl,Hip,Normal,IR1,None,NAmes,1Story,None,CBlock,20,0,1,8,1,4,1,1,2,8,2,9,3,1,2,0,0,3,4,0,1,12,2,1,1
60,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,Norm,HdBoard,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,IR1,None,SawyerW,2Story,None,PConc,60,0,1,6,1,4,1,1,2,6,1,9,3,1,2,4,0,1,4,0,1,20,5,1,2
90,Duplex,GasA,MetalSd,Pave,RL,Y,CompShg,Feedr,MetalSd,None,WD,Lvl,None,Norm,Inside,Gtl,Gable,Normal,Reg,None,Edwards,1.5Fin,None,CBlock,90,2,1,8,1,4,1,1,1,8,2,9,3,6,2,4,0,1,4,3,1,7,0,1,1
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,RRAn,VinylSd,None,New,Lvl,Attchd,Norm,Inside,Gtl,Gable,Partial,Reg,None,Gilbert,1Story,None,PConc,20,0,1,14,1,4,1,1,6,13,2,6,3,1,2,4,0,1,5,3,1,8,2,1,2
120,TwnhsE,GasA,Plywood,Pave,RL,Y,CompShg,Norm,Plywood,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,SawyerW,1Story,None,PConc,120,4,1,11,1,4,1,1,2,10,2,9,3,1,2,4,0,1,4,3,1,20,2,1,2
20,1Fam,GasA,Plywood,Pave,RL,Y,CompShg,Norm,Plywood,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,NWAmes,1Story,None,CBlock,20,0,1,11,1,4,1,1,2,10,1,9,3,1,2,4,0,1,4,3,1,14,2,1,1
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Attchd,Norm,Corner,Gtl,Gable,Abnorml,IR1,None,NWAmes,1Story,None,PConc,20,0,1,14,1,4,1,1,2,13,2,9,3,1,2,0,0,1,0,0,1,14,2,1,2
60,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,BrkFace,WD,Lvl,BuiltIn,Norm,Inside,Gtl,Hip,Normal,Reg,None,NridgHt,2Story,None,PConc,60,0,1,14,1,4,1,1,2,13,1,9,3,3,2,4,0,3,4,3,1,16,5,1,2
60,1Fam,GasA,MetalSd,Pave,RL,Y,CompShg,Feedr,MetalSd,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,NWAmes,2Story,None,CBlock,60,0,1,8,1,4,1,1,1,8,1,9,3,1,2,4,0,1,4,3,1,14,5,1,1
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Hip,Normal,Reg,None,CollgCr,1Story,None,PConc,20,0,1,14,1,4,1,1,2,13,2,9,3,1,2,4,0,3,4,3,1,5,2,1,2
60,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,Norm,HdBoard,BrkFace,WD,Lvl,BuiltIn,Norm,Corner,Gtl,Gable,Normal,IR1,None,Gilbert,2Story,None,PConc,60,0,1,6,1,4,1,1,2,6,1,9,3,3,2,0,0,1,4,0,1,8,5,1,2
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,HLS,Attchd,Norm,Inside,Gtl,Gable,Normal,IR1,None,Timber,1Story,None,PConc,20,0,1,14,1,4,1,1,2,13,2,9,1,1,2,4,0,1,4,0,1,23,2,1,2
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Detchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,NAmes,1Story,None,CBlock,20,0,1,14,1,4,1,1,2,13,2,9,3,5,2,4,0,1,4,3,1,12,2,1,1
20,1Fam,GasA,ImStucc,Pave,RL,Y,CompShg,RRNn,VinylSd,Stone,WD,Lvl,Attchd,Norm,Corner,Gtl,Hip,Normal,IR1,None,Somerst,1Story,None,PConc,20,0,1,7,1,4,1,1,8,13,3,9,3,1,2,0,0,3,4,0,1,21,2,1,2
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,BrkFace,WD,Lvl,Attchd,Norm,FR2,Gtl,Gable,Normal,Reg,None,CollgCr,1Story,None,PConc,20,0,1,14,1,4,1,1,2,13,1,9,3,1,2,2,0,1,4,3,1,5,2,1,2
20,1Fam,GasA,Wd Sdng,Pave,RL,Y,Tar&Grv,PosA,Wd Sdng,None,WD,HLS,Attchd,Norm,Inside,Mod,Flat,Normal,IR2,None,NAmes,1Story,None,CBlock,20,0,1,15,1,4,1,5,3,14,2,9,1,1,2,4,1,0,4,1,1,12,2,1,1
30,1Fam,GasA,MetalSd,Pave,RL,Y,CompShg,Norm,MetalSd,BrkFace,WD,Lvl,Detchd,Norm,Inside,Gtl,Gable,Normal,IR1,None,BrkSide,1Story,None,PConc,30,0,1,8,1,4,1,1,2,8,1,9,3,5,2,4,0,1,4,0,1,3,2,1,2
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,SawyerW,1Story,None,PConc,20,0,1,14,1,4,1,1,2,13,2,9,3,1,2,4,0,1,4,3,1,20,2,1,2
60,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,Somerst,2Story,None,PConc,60,0,1,14,1,4,1,1,2,13,2,9,3,1,2,4,0,1,4,3,1,21,5,1,2
60,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,New,Lvl,Attchd,Norm,Inside,Gtl,Gable,Partial,Reg,None,CollgCr,2Story,None,PConc,60,0,1,14,1,4,1,1,2,13,2,6,3,1,2,4,0,1,5,3,1,5,5,1,2
70,1Fam,GasA,MetalSd,Pave,RL,Y,CompShg,Norm,MetalSd,None,COD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,ClearCr,2Story,None,CBlock,70,0,1,8,1,4,1,1,2,8,2,0,3,1,2,4,0,1,4,3,1,4,5,1,1
90,Duplex,GasA,Plywood,Pave,RL,Y,CompShg,Norm,Plywood,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,IR1,None,Mitchel,1Story,None,CBlock,90,2,1,11,1,4,1,1,2,10,2,9,3,1,2,4,0,1,4,0,1,11,2,1,1
60,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,RRNn,VinylSd,BrkFace,WD,Lvl,BuiltIn,Norm,FR2,Gtl,Gable,Normal,IR1,None,Gilbert,2Story,None,PConc,60,0,1,14,1,4,1,1,8,13,1,9,3,3,2,2,0,1,4,0,1,8,5,1,2
90,Duplex,GasA,MetalSd,Pave,RL,Y,CompShg,Norm,MetalSd,None,Oth,Lvl,None,Norm,Inside,Gtl,Gable,Abnorml,IR1,None,Edwards,1Story,None,PConc,90,2,1,8,1,4,1,1,2,8,2,8,3,6,2,4,0,1,0,0,1,7,2,1,2
90,Duplex,GasA,Plywood,Pave,RL,Y,CompShg,Norm,HdBoard,None,WD,Low,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,Mitchel,1Story,None,CBlock,90,2,1,11,1,4,1,1,2,6,2,9,2,1,2,4,0,1,4,3,1,11,2,1,1
20,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,Norm,HdBoard,BrkFace,COD,Lvl,Basment,Norm,CulDSac,Gtl,Gable,Abnorml,IR1,None,Timber,SLvl,None,CBlock,20,0,1,6,1,4,1,1,2,6,1,0,3,2,2,1,0,1,0,0,1,23,7,1,1
50,1Fam,GasA,VinylSd,Pave,RM,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Detchd,Norm,Corner,Gtl,Hip,Normal,Reg,None,OldTown,1.5Fin,None,BrkTil,50,0,1,14,1,5,1,1,2,13,2,9,3,5,2,0,0,3,4,3,1,17,0,1,0
80,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,Norm,HdBoard,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,NAmes,SLvl,None,CBlock,80,0,1,6,1,4,1,1,2,6,1,9,3,1,2,4,0,1,4,3,1,12,7,1,1
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Hip,Normal,Reg,None,Timber,1Story,None,PConc,20,0,1,14,1,4,1,1,2,13,1,9,3,1,2,4,0,3,4,3,1,23,2,1,2
60,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,IR1,None,CollgCr,2Story,None,PConc,60,0,1,14,1,4,1,1,2,13,1,9,3,1,2,4,0,1,4,0,1,5,5,1,2
20,1Fam,GasA,Plywood,Pave,RL,Y,CompShg,Norm,Plywood,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Hip,Normal,Reg,None,NWAmes,1Story,None,CBlock,20,0,1,11,1,4,1,1,2,10,2,9,3,1,2,4,0,3,4,3,1,14,2,1,1
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Detchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,NAmes,1Story,None,CBlock,20,0,1,14,1,4,1,1,2,13,2,9,3,5,2,4,0,1,4,3,1,12,2,1,1
20,1Fam,GasA,VinylSd,Pave,RH,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Detchd,Norm,Corner,Gtl,Gable,Abnorml,Reg,None,SawyerW,1Story,None,CBlock,20,0,1,14,1,3,1,1,2,13,2,9,3,5,2,0,0,1,0,3,1,20,2,1,1
85,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,Norm,WdShing,None,WD,Lvl,Detchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,CollgCr,SFoyer,None,CBlock,85,0,1,6,1,4,1,1,2,15,2,9,3,5,2,4,0,1,4,3,1,5,6,1,1
60,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,Norm,HdBoard,BrkFace,WD,Lvl,Attchd,Norm,Inside,Mod,Gable,Normal,IR1,Shed,Mitchel,2Story,None,CBlock,60,0,1,6,1,4,1,1,2,6,1,9,3,1,2,4,1,1,4,0,3,11,5,1,1
90,Duplex,GasA,Plywood,Pave,RL,Y,Tar&Grv,Norm,WdShing,BrkFace,WD,Lvl,None,Norm,CulDSac,Gtl,Flat,AdjLand,IR1,None,Edwards,SFoyer,None,CBlock,90,2,1,11,1,4,1,5,2,15,1,9,3,6,2,1,0,0,1,0,1,7,6,1,1
90,Duplex,GasA,MetalSd,Pave,RH,N,CompShg,Norm,MetalSd,BrkFace,WD,HLS,Attchd,Norm,Inside,Gtl,Gable,Normal,IR1,None,Crawfor,2Story,None,CBlock,90,2,1,8,1,3,0,1,2,8,1,9,1,1,2,4,0,1,4,0,1,6,5,1,1
160,TwnhsE,GasA,MetalSd,Pave,RM,Y,CompShg,Norm,MetalSd,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,Blueste,2Story,None,CBlock,160,4,1,8,1,5,1,1,2,8,2,9,3,1,2,4,0,1,4,3,1,1,5,1,1
20,1Fam,GasA,MetalSd,Pave,RL,Y,CompShg,Norm,MetalSd,None,WD,Lvl,Detchd,Norm,Inside,Gtl,Hip,Normal,Reg,None,Sawyer,1Story,None,CBlock,20,0,1,8,1,4,1,1,2,8,2,9,3,5,2,4,0,3,4,3,1,19,2,1,1
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,CollgCr,1Story,None,PConc,20,0,1,14,1,4,1,1,2,13,2,9,3,1,2,4,0,1,4,3,1,5,2,1,2
160,Twnhs,GasA,MetalSd,Pave,FV,Y,CompShg,Norm,MetalSd,None,WD,Lvl,Detchd,Norm,FR2,Gtl,Hip,Normal,Reg,None,Somerst,2Story,None,PConc,160,3,1,8,1,1,1,1,2,8,2,9,3,5,2,2,0,3,4,3,1,21,5,1,2
20,1Fam,GasA,Plywood,Pave,RL,Y,CompShg,Norm,Wd Sdng,None,WD,Lvl,None,Norm,Inside,Gtl,Gable,Normal,IR1,None,BrkSide,1Story,None,CBlock,20,0,1,11,1,4,1,1,2,14,2,9,3,6,2,4,0,1,4,0,1,3,2,1,1
60,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,PosN,HdBoard,BrkFace,WD,Lvl,Attchd,Norm,Corner,Gtl,Gable,Normal,IR1,None,NWAmes,2Story,None,CBlock,60,0,1,6,1,4,1,1,4,6,1,9,3,1,2,0,0,1,4,0,1,14,5,1,1
160,TwnhsE,GasA,Brk Cmn,Pave,RL,Y,CompShg,Norm,Plywood,None,WD,Lvl,Detchd,Norm,Corner,Gtl,Gable,Normal,Reg,None,NPkVill,2Story,None,CBlock,160,4,1,2,1,4,1,1,2,10,2,9,3,5,2,0,0,1,4,3,1,13,5,1,1
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Attchd,Norm,Corner,Gtl,Gable,Normal,IR1,None,CollgCr,1Story,None,PConc,20,0,1,14,1,4,1,1,2,13,2,9,3,1,2,0,0,1,4,0,1,5,2,1,2
60,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,BrkFace,WD,Lvl,BuiltIn,Norm,Corner,Gtl,Gable,Normal,Reg,None,Timber,2Story,None,PConc,60,0,1,14,1,4,1,1,2,13,1,9,3,3,2,0,0,1,4,3,1,23,5,1,2
60,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,RRAn,VinylSd,None,New,Lvl,Attchd,Norm,Inside,Gtl,Gable,Partial,Reg,None,Gilbert,2Story,None,PConc,60,0,1,14,1,4,1,1,6,13,2,6,3,1,2,4,0,1,5,3,1,8,5,1,2
50,1Fam,GasA,MetalSd,Pave,RL,Y,CompShg,Norm,MetalSd,None,WD,HLS,Detchd,Norm,Inside,Gtl,Gable,Normal,IR1,None,Crawfor,1.5Fin,None,BrkTil,50,0,1,8,1,4,1,1,2,8,2,9,1,5,2,4,0,1,4,0,1,6,0,1,0
20,1Fam,GasA,Wd Sdng,Pave,RL,Y,CompShg,Norm,Wd Sdng,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Hip,Normal,IR1,None,NAmes,1Story,None,CBlock,20,0,1,15,1,4,1,1,2,14,1,9,3,1,2,4,0,3,4,0,1,12,2,1,1
50,1Fam,Grav,VinylSd,Pave,RM,N,CompShg,Norm,VinylSd,None,WD,Lvl,None,Norm,Inside,Gtl,Gable,Abnorml,Reg,None,OldTown,1.5Fin,None,BrkTil,50,0,3,14,1,5,0,1,2,13,2,9,3,6,2,4,0,1,0,3,1,17,0,1,0
